FlightName,Date,Departure time,Arrival Time,From,To,Duration,Stops,Price
Go First,"Thu, Mar 3, 2022",15:00,17:00,New Delhi,Mumbai,02 h,Non stop,"₹ 5,955"
IndiGo,"Thu, Mar 3, 2022",16:00,18:15,New Delhi,Mumbai,02 h 15 m,Non stop,"₹ 5,955"
Air India,"Thu, Mar 3, 2022",18:00,20:00,New Delhi,Mumbai,02 h,Non stop,"₹ 5,955"
IndiGo,"Thu, Mar 3, 2022",18:40,20:50,New Delhi,Mumbai,02 h 10 m,Non stop,"₹ 5,955"
SpiceJet,"Thu, Mar 3, 2022",18:55,21:05,New Delhi,Mumbai,02 h 10 m,Non stop,"₹ 5,955"
Air India,"Thu, Mar 3, 2022",19:00,21:15,New Delhi,Mumbai,02 h 15 m,Non stop,"₹ 5,955"
SpiceJet,"Thu, Mar 3, 2022",19:45,22:05,New Delhi,Mumbai,02 h 20 m,Non stop,"₹ 5,955"
Air India,"Thu, Mar 3, 2022",20:00,22:10,New Delhi,Mumbai,02 h 10 m,Non stop,"₹ 5,955"
Go First,"Thu, Mar 3, 2022",20:30,22:45,New Delhi,Mumbai,02 h 15 m,Non stop,"₹ 5,955"
Go First,"Thu, Mar 3, 2022",21:00,23:15,New Delhi,Mumbai,02 h 15 m,Non stop,"₹ 5,955"
IndiGo,"Thu, Mar 3, 2022",21:15,23:30,New Delhi,Mumbai,02 h 15 m,Non stop,"₹ 5,955"
